company,client,method,from,to,sample_size,con,lab,ld,ukip,grn,snp,pdf
Ipsos MORI,FT,,,2005-05-19,,0.3,0.37,0.26,,,,
Ipsos MORI,First Tuesday,,,2005-05-19,,0.27,0.4,0.26,,,,
YouGov,Telegraph,,,2005-05-24,,0.31,0.38,0.23,,,,
Ipsos MORI,Social Research Institute,,,2005-06-16,,0.29,0.42,0.21,,,,
ICM,Guardian,,,2005-06-17,,0.31,0.38,0.23,,,,
YouGov,Telegraph,,,2005-06-28,,0.33,0.38,0.2,,,,
Ipsos MORI,Observer,,,2005-07-14,,0.28,0.41,0.25,,,,
ICM,Guardian,,,2005-07-15,,0.31,0.39,0.23,,,,
Populus,Times,,,2005-07-22,,0.28,0.4,0.22,,,,
YouGov,Telegraph,,,2005-07-26,,0.31,0.4,0.21,,,,
Ipsos MORI,,,,2005-08-11,,0.31,0.39,0.24,,,,
ICM,Guardian,,,2005-08-12,,0.31,0.38,0.22,,,,
YouGov,Telegraph,,,2005-08-19,,0.33,0.4,0.2,,,,
Populus,Times,,,2005-09-02,,0.35,0.37,0.2,,,,
YouGov,Sun Times,,,2005-09-07,,0.32,0.37,0.21,,,,
ICM,Guardian,,,2005-09-16,,0.31,0.4,0.21,,,,
Ipsos MORI,,,,2005-09-22,,0.29,0.39,0.25,,,,
YouGov,Telegraph,,,2005-09-27,,0.32,0.4,0.2,,,,
ICM,NOTW,,,2005-10-05,,0.32,0.38,0.22,,,,
Populus,Times,,,2005-10-07,,0.3,0.4,0.21,,,,
BPIX,,,,2005-10-15,,0.33,0.41,0.18,,,,
ICM,Guardian,,,2005-10-19,,0.33,0.36,0.22,,,,
Ipsos MORI,,,,2005-10-20,,0.34,0.4,0.21,,,,
YouGov,Telegraph,,,2005-10-25,,0.32,0.4,0.19,,,,
ICM,Sun Times,,,2005-11-02,,0.33,0.39,0.21,,,,
BPIX,Mail on Sunday,,,2005-11-02,,0.35,0.37,0.2,,,,
Populus,Times,,,2005-11-04,,0.32,0.4,0.19,,,,
Ipsos MORI,Sun,,,2005-11-17,,0.32,0.42,0.19,,,,
ICM,Guardian,,,2005-11-18,,0.33,0.38,0.19,,,,
YouGov,Telegraph,,,2005-11-22,,0.35,0.37,0.2,,,,
YouGov,Sky,,,2005-12-05,,0.36,0.36,0.18,,,,
YouGov,Sun Times,,,2005-12-06,,0.37,0.36,0.18,,,,
ICM,Sun Times,,,2005-12-07,,0.37,0.35,0.21,,,,
BPIX,Mail on Sunday,,,2005-12-08,,0.37,0.38,0.17,,,,
Ipsos MORI,Observer,,,2005-12-09,,0.4,0.31,0.21,,,,
Populus,Times,,,2005-12-09,,0.35,0.38,0.19,,,,
YouGov,Telegraph,,,2005-12-13,,0.38,0.36,0.18,,,,
ICM,Guardian,,,2005-12-15,,0.37,0.36,0.21,,,,
BPIX,Mail on Sunday,,,2006-01-05,,0.38,0.38,0.16,,,,
Populus,Times,,,2006-01-06,,0.36,0.39,0.16,,,,
ICM,NOTW,,,2006-01-11,,0.39,0.35,0.2,,,,
Ipsos MORI,Sun,,,2006-01-12,,0.39,0.39,0.15,,,,
Ipsos MORI,FT,,,2006-01-19,,0.4,0.38,0.17,,,,
ICM,Guardian,,,2006-01-20,,0.37,0.36,0.19,,,,
YouGov,Telegraph,,,2006-01-24,,0.39,0.4,0.13,,,,
ICM,Sun Times,,,2006-01-26,,0.37,0.36,0.18,,,,
Populus,Times,,,2006-02-03,,0.37,0.36,0.18,,,,
YouGov,Sun Times,,,2006-02-09,,0.37,0.39,0.15,,,,
Ipsos MORI,Sun,,,2006-02-16,,0.35,0.38,0.2,,,,
ICM,Guardian,,,2006-02-17,,0.37,0.34,0.21,,,,
YouGov,Telegraph,,,2006-02-21,,0.38,0.36,0.18,,,,
Populus,Times,,,2006-03-03,,0.35,0.35,0.2,,,,
BPIX,Mail on Sunday,,,2006-03-03,,0.39,0.37,0.16,,,,
ICM,Guardian,,,2006-03-10,,0.34,0.37,0.21,,,,
Ipsos MORI,,,,2006-03-16,,0.34,0.39,0.19,,,,
ICM,Sun Times,,,2006-03-17,,0.33,0.37,0.21,,,,
YouGov,Sun Times,,,2006-03-17,,0.38,0.35,0.19,,,,
YouGov,Telegraph,,,2006-03-27,,0.36,0.36,0.18,,,,
Populus,Times,,,2006-03-31,,0.34,0.36,0.21,,,,
ICM,Channel 4,,,2006-04-05,,0.35,0.35,0.21,,,,
BPIX,Mail on Sunday,,,2006-04-06,,0.37,0.36,0.17,,,,
YouGov,Telegraph,,,2006-04-18,,0.33,0.35,0.17,,,,
Ipsos MORI,Sun,,,2006-04-20,,0.3,0.3,0.25,,,,
ICM,Guardian,,,2006-04-21,,0.34,0.32,0.24,,,,
Ipsos MORI,FT,,,2006-04-27,,0.36,0.32,0.21,,,,
YouGov,Sun Times,,,2006-04-27,,0.35,0.32,0.18,,,,
BPIX,Mail on Sunday,,,2006-04-28,,0.35,0.32,0.19,,,,
Populus,Times,,,2006-05-05,,0.38,0.3,0.2,,,,
YouGov,Telegraph,,,2006-05-08,,0.37,0.31,0.17,,,,
ICM,Guardian,,,2006-05-19,,0.38,0.34,0.2,,,,
YouGov,Telegraph,,,2006-05-23,,0.38,0.32,0.16,,,,
Ipsos MORI,Sun,,,2006-05-25,,0.41,0.31,0.18,,,,
Populus,Times,,,2006-06-02,,0.37,0.34,0.18,,,,
Ipsos MORI,Observer,,,2006-06-08,,0.41,0.34,0.18,,,,
ICM,Guardian,,,2006-06-16,,0.37,0.32,0.21,,,,
Ipsos MORI,,,,2006-06-20,,0.36,0.33,0.21,,,,
YouGov,Telegraph,,,2006-06-21,,0.39,0.32,0.17,,,,
YouGov,Telegraph,,,2006-06-26,,0.39,0.33,0.18,,,,
ICM,Sun Times,,,2006-06-28,,0.36,0.35,0.18,,,,
BPIX,Mail on Sunday,,,2006-07-06,,0.41,0.31,0.15,,,,
Populus,Times,,,2006-07-07,,0.36,0.34,0.19,,,,
Ipsos MORI,FT,,,2006-07-20,,0.36,0.32,0.24,,,,
ICM,Guardian,,,2006-07-21,,0.39,0.35,0.17,,,,
YouGov,Telegraph,,,2006-07-24,,0.38,0.33,0.18,,,,
ICM,Guardian,,,2006-08-18,,0.4,0.31,0.22,,,,
YouGov,Telegraph,,,2006-08-22,,0.38,0.31,0.18,,,,
