nawc15cd,Press Association ID Number,Constituency ID,CHD_Name
W09000022,1.0,W07000049,Aberavon
W09000003,2.0,W07000058,Aberconwy
W09000007,10.0,W07000043,Alyn and Deeside
W09000002,16.0,W07000057,Arfon
W09000038,71.0,W07000072,Blaenau Gwent
W09000041,89.0,W07000068,Brecon and Radnorshire
W09000023,94.0,W07000073,Bridgend
W09000035,114.0,W07000076,Caerphilly
W09000031,126.0,W07000050,Cardiff Central
W09000042,127.0,W07000051,Cardiff North
W09000043,128.0,W07000080,Cardiff South and Penarth
W09000029,129.0,W07000079,Cardiff West
W09000015,131.0,W07000067,Carmarthen East and Dinefwr
W09000016,132.0,W07000066,Carmarthen West and South Pembrokeshire
W09000012,135.0,W07000064,Ceredigion
W09000009,154.0,W07000062,Clwyd South
W09000004,155.0,W07000059,Clwyd West
W09000026,174.0,W07000070,Cynon Valley
W09000006,179.0,W07000042,Delyn
W09000010,217.0,W07000061,Dwyfor Meirionnydd
W09000018,273.0,W07000046,Gower
W09000036,336.0,W07000077,Islwyn
W09000017,375.0,W07000045,Llanelli
W09000044,393.0,W07000071,Merthyr Tydfil and Rhymney
W09000034,401.0,W07000054,Monmouth
W09000011,402.0,W07000063,Montgomeryshire
W09000021,408.0,W07000069,Neath
W09000040,417.0,W07000055,Newport East
W09000039,418.0,W07000056,Newport West
W09000045,437.0,W07000074,Ogmore
W09000046,454.0,W07000075,Pontypridd
W09000014,459.0,W07000065,Preseli Pembrokeshire
W09000025,470.0,W07000052,Rhondda
W09000020,558.0,W07000048,Swansea East
W09000019,559.0,W07000047,Swansea West
W09000047,589.0,W07000078,The Vale of Glamorgan
W09000037,576.0,W07000053,Torfaen
W09000005,588.0,W07000060,Vale of Clwyd
W09000047,589.0,W07000078,Vale of Glamorgan
W09000008,641.0,W07000044,Wrexham
W09000001,647.0,W07000041,Ynys Môn
